一	YI_T1;YAO_T1;YI_T4;YI_T2;YI_T0
丁	DING_T1;DING_T0;ZHENG_T1
丂	KAO_T3;YU_T2
七	QI_T1
丄	SHANG_T4
丅	XIA_T4
丆	SHI_T2
万	WAN_T4;MO_T4
丈	ZHANG_T4
三	SAN_T1
上	SHANG_T4;SHANG_T3;SHANG_T0
下	XIA_T4;XIA_T0
丌	JI_T1;QI_T2
不	BU_T4;BU_T2;BU_T0
与	YU_T3;YU_T2;YU_T4
丏	MIAN_T3
丐	GAI_T4
丑	CHOU_T3
专	ZHUAN_T1
且	QIE_T3;JU_T1
丕	PI_T1
世	SHI_T4
丗	SHI_T4
丘	QIU_T1
丙	BING_T3
业	YE_T4
丛	CONG_T2
东	DONG_T1
丝	SI_T1
丞	CHENG_T2
丠	QIU_T1
両	LIANG_T3
丢	DIU_T1
丣	YOU_T3
两	LIANG_T3
严	YAN_T2;YAN_T3
丧	SANG_T1;SANG_T4
丨	GUN_T3;SHU_T4
丩	JIU_T1
个	GE_T4;GE_T3;GE_T0
丫	YA_T1
丬	JIANG_T4;PAN_T2;ZHUANG_T4
中	ZHONG_T1;ZHONG_T4
丮	JI_T3
丯	JIE_T4
丰	FENG_T1
丱	GUAN_T4;KUANG_T4
串	CHUAN_T4
丳	CHAN_T3
临	LIN_T2
丵	ZHUO_T2
丶	DIAN_T3;ZHU_T3
丷	BA_T1
丸	WAN_T2
丹	DAN_T1
为	WEI_T4;WEI_T2;WEI_T0
主	ZHU_T3
丼	JING_T3
丽	LI_T4;LI_T2
举	JU_T3;JU_T0
丿	PIE_T3
乀	FU_T2
乁	YI_T2
乂	AI_T4;YI_T4
乃	NAI_T3
久	JIU_T3
乆	JIU_T3
乇	TUO_T1
么	MA_T0;ME_T0;MO_T3;YAO_T1
义	YI_T4;YI_T2
乊	HU_T1
之	ZHI_T1
乌	WU_T1;WU_T4
乍	ZHA_T4
乎	HU_T1;HU_T0
乏	FA_T2
乐	LE_T4;YUE_T4
乑	YIN_T2
乒	PING_T1
乓	PANG_T1
乔	QIAO_T2
乕	HU_T3
乖	GUAI_T1
乗	SHENG_T4
乘	CHENG_T2;SHENG_T4
乙	YI_T3
乚	YIN_T3
乛	ZHE_T2
乜	MIE_T1;NIE_T4
九	JIU_T2;JIU_T3
乞	QI_T3;QI_T0
也	YE_T3
习	XI_T2
乡	XIANG_T1;XIANG_T4
乢	GAI_T4
乣	JIU_T3
书	SHU_T1
乨	SHI_T3
乩	JI_T1
乪	NANG_T2
买	MAI_T3
乱	LUAN_T4
乳	RU_T3
乴	XUE_T2
乵	YAN_T3
乸	NA_T3
乹	QIAN_T2
乾	GAN_T1;QIAN_T2
乿	LUAN_T4
亀	GUI_T1
亁	GAN_T1
