A_T0	a_m a_m
A_T1	a_h a_h
A_T2	a_l a_h
A_T3	a_l a_l
A_T4	a_h a_l
AI_T0	a_m eh_m
AI_T1	a_h eh_h
AI_T2	a_l eh_h
AI_T3	a_l eh_l
AI_T4	a_h eh_l
AN_T0	a_m nn_m
AN_T1	a_h nn_h
AN_T2	a_l nn_h
AN_T3	a_l nn_l
AN_T4	a_h nn_l
ANG_T0	aa_m ng_m
ANG_T1	aa_h ng_h
ANG_T2	aa_l ng_h
ANG_T3	aa_l ng_l
ANG_T4	aa_h ng_l
AO_T0	aa_m o_m
AO_T1	aa_h o_h
AO_T2	aa_l o_h
AO_T3	aa_l o_l
AO_T4	aa_h o_l
BA_T0	b a_m a_m
BA_T1	b a_h a_h
BA_T2	b a_l a_h
BA_T3	b a_l a_l
BA_T4	b a_h a_l
BAI_T0	b a_m eh_m
BAI_T1	b a_h eh_h
BAI_T2	b a_l eh_h
BAI_T3	b a_l eh_l
BAI_T4	b a_h eh_l
BAN_T0	b a_m nn_m
BAN_T1	b a_h nn_h
BAN_T2	b a_l nn_h
BAN_T3	b a_l nn_l
BAN_T4	b a_h nn_l
BANG_T0	b aa_m ng_m
BANG_T1	b aa_h ng_h
BANG_T2	b aa_l ng_h
BANG_T3	b aa_l ng_l
BANG_T4	b aa_h ng_l
BAO_T0	b aa_m o_m
BAO_T1	b aa_h o_h
BAO_T2	b aa_l o_h
BAO_T3	b aa_l o_l
BAO_T4	b aa_h o_l
BEI_T0	b eh_m i_m
BEI_T1	b eh_h i_h
BEI_T2	b eh_l i_h
BEI_T3	b eh_l i_l
BEI_T4	b eh_h i_l
BEN_T0	b el_m nn_m
BEN_T1	b el_h nn_h
BEN_T2	b el_l nn_h
BEN_T3	b el_l nn_l
BEN_T4	b el_h nn_l
BENG_T0	b el_m ng_m
BENG_T1	b el_h ng_h
BENG_T2	b el_l ng_h
BENG_T3	b el_l ng_l
BENG_T4	b el_h ng_l
BI_T0	bi i_m i_m
BI_T1	bi i_h i_h
BI_T2	bi i_l i_h
BI_T3	bi i_l i_l
BI_T4	bi i_h i_l
BIAN_T0	bi a_m nn_m
BIAN_T1	bi a_h nn_h
BIAN_T2	bi a_l nn_h
BIAN_T3	bi a_l nn_l
BIAN_T4	bi a_h nn_l
BIAO_T0	bi aa_m o_m
BIAO_T1	bi aa_h o_h
BIAO_T2	bi aa_l o_h
BIAO_T3	bi aa_l o_l
BIAO_T4	bi aa_h o_l
BIE_T0	bi eh_m eh_m
BIE_T1	bi eh_h eh_h
BIE_T2	bi eh_l eh_h
BIE_T3	bi eh_l eh_l
BIE_T4	bi eh_h eh_l
BIN_T0	bi i_m nn_m
BIN_T1	bi i_h nn_h
BIN_T2	bi i_l nn_h
BIN_T3	bi i_l nn_l
BIN_T4	bi i_h nn_l
BING_T0	bi el_m ng_m
BING_T1	bi el_h ng_h
BING_T2	bi el_l ng_h
BING_T3	bi el_l ng_l
BING_T4	bi el_h ng_l
BO_T0	bu o_m o_m
BO_T1	bu o_h o_h
BO_T2	bu o_l o_h
BO_T3	bu o_l o_l
BO_T4	bu o_h o_l
BU_T0	bu u_m u_m
BU_T1	bu u_h u_h
BU_T2	bu u_l u_h
BU_T3	bu u_l u_l
BU_T4	bu u_h u_l
CA_T0	c a_m a_m
CA_T1	c a_h a_h
CA_T2	c a_l a_h
CA_T3	c a_l a_l
CA_T4	c a_h a_l
CAI_T0	c a_m eh_m
CAI_T1	c a_h eh_h
CAI_T2	c a_l eh_h
CAI_T3	c a_l eh_l
CAI_T4	c a_h eh_l
CAN_T0	c a_m nn_m
CAN_T1	c a_h nn_h
CAN_T2	c a_l nn_h
CAN_T3	c a_l nn_l
CAN_T4	c a_h nn_l
CANG_T0	c aa_m ng_m
CANG_T1	c aa_h ng_h
CANG_T2	c aa_l ng_h
CANG_T3	c aa_l ng_l
CANG_T4	c aa_h ng_l
CAO_T0	c aa_m o_m
CAO_T1	c aa_h o_h
CAO_T2	c aa_l o_h
CAO_T3	c aa_l o_l
CAO_T4	c aa_h o_l
CE_T0	c el_m el_m
CE_T1	c el_h el_h
CE_T2	c el_l el_h
CE_T3	c el_l el_l
CE_T4	c el_h el_l
CEN_T0	c el_m nn_m
CEN_T1	c el_h nn_h
CEN_T2	c el_l nn_h
CEN_T3	c el_l nn_l
CEN_T4	c el_h nn_l
CENG_T0	c el_m ng_m
CENG_T1	c el_h ng_h
CENG_T2	c el_l ng_h
CENG_T3	c el_l ng_l
CENG_T4	c el_h ng_l
CHA_T0	ch a_m a_m
CHA_T1	ch a_h a_h
CHA_T2	ch a_l a_h
CHA_T3	ch a_l a_l
CHA_T4	ch a_h a_l
CHAI_T0	ch a_m eh_m
CHAI_T1	ch a_h eh_h
